"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","adherens junction organization","3","52","34","19512","3.56e-3","9.69e-2","33.11","9.40e-1","9.42e-2","1.01e-4","CDH3,CDH1,ADAM10"
"GOTERM_BP_DIRECT","neuromuscular junction development","3","52","36","19512","3.99e-3","1.05e-1","31.27","9.57e-1","1.02e-1","1.20e-4","DCTN1,LAMC1,AGRN"
"GOTERM_BP_DIRECT","leukocyte migration","3","52","38","19512","4.43e-3","1.13e-1","29.62","9.70e-1","1.10e-1","1.41e-4","ROCK1,MYH9,ITGA6"
"GOTERM_BP_DIRECT","negative regulation of extrinsic apoptotic signaling pathway","3","52","41","19512","5.15e-3","1.25e-1","27.46","9.83e-1","1.21e-1","1.77e-4","YAP1,TCF7L2,ITGA6"
"GOTERM_BP_DIRECT","calcium-dependent cell-matrix adhesion","2","52","2","19512","5.22e-3","1.25e-1","375.23","9.84e-1","1.21e-1","6.97e-6","DAG1,TRPM7"
"GOTERM_BP_DIRECT","positive regulation of substrate adhesion-dependent cell spreading","3","52","45","19512","6.17e-3","1.43e-1","25.02","9.92e-1","1.39e-1","2.34e-4","C1QBP,FLNA,CRKL"
"GOTERM_BP_DIRECT","positive regulation of stem cell population maintenance","3","52","48","19512","7.00e-3","1.58e-1","23.45","9.96e-1","1.53e-1","2.84e-4","YAP1,DSG2,ACTB"
"GOTERM_BP_DIRECT","hair follicle development","3","52","50","19512","7.57e-3","1.64e-1","22.51","9.98e-1","1.59e-1","3.20e-4","LAMA5,COL6A1,SAV1"
"GOTERM_BP_DIRECT","negative regulation of canonical Wnt signaling pathway","4","52","156","19512","7.88e-3","1.64e-1","9.62","9.98e-1","1.59e-1","7.90e-4","TCF7L2,IGFBP4,IGFBP2,EMD"
"GOTERM_BP_DIRECT","protein localization to plasma membrane","4","52","156","19512","7.88e-3","1.64e-1","9.62","9.98e-1","1.59e-1","7.90e-4","LAMA5,ROCK1,CDH1,FLNA"
"GOTERM_BP_DIRECT","morphogenesis of an epithelium","3","52","52","19512","8.17e-3","1.65e-1","21.65","9.98e-1","1.61e-1","3.60e-4","KRT19,DAG1,VCL"
"GOTERM_BP_DIRECT","positive regulation of stress fiber assembly","3","52","55","19512","9.11e-3","1.80e-1","20.47","9.99e-1","1.75e-1","4.25e-4","SDC4,PXN,RHOA"
"GOTERM_BP_DIRECT","collagen fibril organization","3","52","65","19512","1.25e-2","2.36e-1","17.32","1.00e+0","2.29e-1","6.94e-4","COL1A1,COL1A2,COL6A1"
"GOTERM_BP_DIRECT","Rho protein signal transduction","3","52","65","19512","1.25e-2","2.36e-1","17.32","1.00e+0","2.29e-1","6.94e-4","COL1A2,ROCK1,RHOA"
"GOTERM_BP_DIRECT","regulation of actin filament-based process","2","52","5","19512","1.30e-2","2.39e-1","150.09","1.00e+0","2.32e-1","6.93e-5","ROCK1,MYH9"
"GOTERM_BP_DIRECT","cellular response to amino acid stimulus","3","52","68","19512","1.37e-2","2.41e-1","16.55","1.00e+0","2.34e-1","7.92e-4","COL1A1,COL1A2,COL6A1"
"GOTERM_BP_DIRECT","skeletal muscle tissue development","3","52","69","19512","1.41e-2","2.41e-1","16.31","1.00e+0","2.34e-1","8.26e-4","COL6A1,FLNB,RHOA"
"GOTERM_BP_DIRECT","mitotic cytokinesis","3","52","69","19512","1.41e-2","2.41e-1","16.31","1.00e+0","2.34e-1","8.26e-4","ROCK1,MYH10,RHOA"
"GOTERM_BP_DIRECT","positive regulation of cell adhesion","3","52","71","19512","1.48e-2","2.46e-1","15.85","1.00e+0","2.39e-1","8.98e-4","C1QBP,DSG2,LAMC1"
"GOTERM_BP_DIRECT","cell-substrate junction assembly","2","52","6","19512","1.56e-2","2.46e-1","125.08","1.00e+0","2.39e-1","1.04e-4","ITGA6,TLN1"
