,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
AMOTL2,0.6696924,0.93152815,0.7015388,0.5568022,0.49718568,0.46834862,0.5244466,0.43582544,0.258054,0.8098248
TLN1,1.3225925,1.5424478,0.77022797,0.6253138,0.734725,0.6729058,0.9497,0.7351569,0.27840477,2.1221168
TLN2,1.3107462,0.9939836,0.5601446,0.43398544,0.5757999,0.5969702,0.75472474,0.2642432,0.16853511,1.0211664
VCL,1.8609773,3.0225835,1.0232992,0.6911271,0.7152868,0.7003046,0.98302114,0.67865413,0.23025869,3.5028558
PXN,0.2676234,0.8327063,0.3631039,0.22320387,0.2598542,0.22208783,0.2716244,0.34845445,0.123874806,2.5702145
ZYX,0.48745367,1.4810836,0.7791752,0.7092544,0.7763691,0.7037612,0.8235326,0.5702708,0.41181773,3.39859
FERMT1,0.15134662,0.41141868,0.039009664,0.009747754,0.01595181,0.016038887,0.01823724,0.01808781,0.0056539774,0.0
FERMT2,2.379628,3.5309446,1.3100572,1.003407,1.0195538,1.0883238,1.7537454,1.8585374,0.5373095,3.4377127
FERMT3,0.022252511,0.018487519,0.022649791,0.025719754,0.021104116,0.032404073,0.05787622,0.009994642,0.0019257697,0.049072236
ILK,1.3509834,2.490792,1.7939118,1.4635108,1.5792196,1.4790553,1.661049,1.6542597,1.1352353,5.4161453
PARVA,0.74142206,0.87732846,0.73185825,0.2978359,0.2730549,0.20689313,0.23549056,0.17497613,0.041399445,0.9217037
PARVB,0.17697167,0.4318002,0.26268184,0.103936814,0.12015606,0.14016408,0.085099846,0.042087432,0.015276851,0.0
PTK2,3.704791,2.7278626,2.244659,1.4010429,1.6491734,1.3582937,1.6123952,0.9791536,0.47571677,2.4646711
SRC,0.30404535,0.6426695,0.35005432,0.3504226,0.40658808,0.3953054,0.4270036,0.20093186,0.19470355,0.54828465
BCAR1,0.6235952,0.7883587,0.78378224,0.6295074,0.6991441,0.6682398,0.8447811,0.789342,0.52482575,0.8302506
CRK,1.2067478,2.5039759,1.6276194,1.3933731,1.605061,1.8086536,1.8746146,1.6362761,1.047918,3.3498025
CRKL,1.1392984,1.700717,0.7441241,0.56140417,0.6260827,0.60552627,0.7261186,0.60544235,0.269018,3.890325
PIEZO1,0.08521701,0.28251266,0.028722974,0.018334081,0.037611376,0.04488388,0.10070952,0.13072434,0.028995581,0.23004945
PIEZO2,0.47680205,0.31790292,0.35047957,0.15631977,0.23795256,0.14276133,0.20132028,0.023545137,0.08002427,0.0
TRPV4,0.065182686,0.061029114,0.044703387,0.024061928,0.0072294045,0.0052554426,0.0271301,0.000118911994,0.0,0.0
TRPC1,1.1588792,0.59490705,0.5540485,0.22828174,0.38479522,0.3112218,0.38480964,0.1304757,0.09844906,0.5146811
TRPC6,0.014447371,0.059877694,0.02820532,0.083534956,0.01709905,0.0093154255,0.012162065,0.000315771,0.0,0.0
TRPM7,1.5649966,1.6116047,0.71447897,0.470415,0.5784673,0.5830473,0.8195928,0.3818355,0.22157095,0.7282913
KCNK2,0.09451211,0.03021359,0.09721623,0.06475202,0.101797745,0.12899321,0.15775609,0.03453979,0.019516256,0.20185447
KCNK4,0.0034527015,0.003878775,0.0089170635,0.008784999,0.03946374,0.028902637,0.018912882,0.024430191,0.013604786,0.25260928
TMC1,0.023924137,0.004267986,0.010543578,0.0029993656,0.008095098,0.009433308,0.018103542,0.007296371,0.0020069596,0.14654896
TMC2,0.0067888056,0.0007315687,0.008005266,0.01283395,0.012162559,0.009620292,0.008616366,0.0012970978,0.0,0.0
DDR1,0.8641691,2.3619654,1.9343208,1.7575895,2.055595,1.6766647,2.1633878,2.3912294,0.93513757,4.592738
DDR2,0.05998001,0.03115516,0.11416632,0.12750791,0.23627111,0.11775423,0.16248475,0.047276154,0.013003763,0.51677
CD44,0.037755385,0.08724981,0.03916475,0.087694734,0.2382528,0.3007345,0.60486436,1.2895736,0.05216514,6.3299255
DAG1,1.4940875,2.339735,0.98082095,0.6616747,0.82055247,0.79382616,1.0955682,1.1583807,0.34408957,4.334759
RPSA,7.728173,8.424898,7.141275,6.31741,6.0646257,6.652481,6.465481,6.4340754,6.7962728,4.857831
BCAM,0.6794319,1.1123283,0.72676885,0.3422987,0.27076465,0.21278988,0.17089233,0.095867775,0.054910086,0.046414405
HMMR,1.2444264,2.8186412,0.75188696,0.3577404,0.24400179,0.14301068,0.21300094,0.21330369,0.15844625,0.0
LYVE1,0.008592211,0.000935049,0.007096645,0.0025247175,0.0076206313,0.0044946144,0.009300369,0.00011462659,0.0,0.09050754
MMP1,0.0,0.004732865,0.00068596384,0.0026506593,0.0033624796,0.0057207155,0.001144233,0.0,0.0,0.0
MMP2,1.3235351,1.1344458,0.69524074,0.14554152,0.20038655,0.14064856,0.23772688,0.301909,0.17444983,0.60938543
MMP3,0.00023383067,0.007518506,0.00449644,0.0019518147,0.0019130365,0.0021780767,0.0028436997,0.00047188034,0.0,0.0
MMP7,0.0,0.0,0.0004795637,0.001203163,0.0031378113,0.005266487,0.012410257,0.062380664,0.0021268837,0.0
MMP8,0.0,0.0,5.889932e-05,3.0321795e-05,0.00016605417,4.0114763e-05,8.325736e-05,0.0,0.0,0.0
MMP9,0.023621868,0.12420083,0.02923442,0.012778473,0.020553676,0.026225286,0.013839374,0.0065694354,0.0,0.0
MMP10,0.00046073424,0.0,0.0019625544,0.0072134943,0.016934114,0.012378403,0.0042536566,0.00062183756,0.0021011762,0.0
MMP11,0.31667474,0.24463196,0.2804509,0.09621612,0.13465872,0.14192423,0.11689726,0.07923672,0.041861117,0.32768387
MMP12,0.0005690086,0.0,4.084069e-05,0.00026734665,0.00087679294,0.00047953782,0.00033636802,0.0,0.0,0.0
MMP13,0.0010969648,0.0003422995,0.00011996116,0.0002973508,0.00031561046,0.00037819464,0.0005402668,0.00037347566,0.0,0.0
MMP14,0.12893938,0.17147069,0.13776654,0.092566445,0.17331271,0.16999455,0.42376834,0.55812097,0.13769719,0.71696997
MMP15,0.32572502,0.6237694,0.39465865,0.4015582,0.5079917,0.411115,0.5604914,0.62859243,0.255531,0.092292905
