gene_symbol,pct_cells_expressing,mean expression,is_hvg_in_atlas,Category,Subcategory,Matrisome Division,passes_global_filter,max_pct_any_celltype,passes_celltype_filter,top_celltype,top_region,temporal_cv,passes_combined,hvg_passes_combined
BMP7,14.304707276404017,0.7243782,False,ECM-Associated Signaling,TGF-β Superfamily,Matrisome-Associated,True,50.70873342478387,True,Astrocyte,Unspecific,0.78028756,True,False
TGFB2,5.743774066993241,0.28837955,True,ECM-Associated Signaling,TGF-β Superfamily,Matrisome-Associated,True,31.187465752030093,True,MC,Unspecific,1.2801489,True,True
BMP1,4.361344148630008,0.20887662,False,ECM-Associated Signaling,TGF-β Superfamily / Procollagen C-proteinase,Matrisome-Associated,True,17.873886306902524,True,MC,Unspecific,0.36913443,True,False
TGFB1,4.24465908872322,0.20307459,False,ECM-Associated Signaling,TGF-β Superfamily,Matrisome-Associated,True,62.002743484226585,True,PSC,Unspecific,0.51012397,True,False
BMP2,1.8412066568096939,0.0884788,False,ECM-Associated Signaling,TGF-β Superfamily,Matrisome-Associated,True,63.465935070875034,True,PSC,Thalamus,1.0567216,True,False
TGFB3,1.42834712732302,0.069116846,False,ECM-Associated Signaling,TGF-β Superfamily,Matrisome-Associated,True,8.132242810464732,True,MC,Unspecific,1.6714395,True,False
BMP4,1.3797754179715458,0.0666712,True,ECM-Associated Signaling,TGF-β Superfamily,Matrisome-Associated,True,30.315500685871115,True,PSC,Unspecific,1.3587835,True,True
ITGB1,36.30317331399496,1.9356534,False,Integrins,Beta Subunits,Matrisome-Associated,True,94.33013260174076,True,PSC,Unspecific,0.3596099,True,False
ITGAE,32.500008471879674,1.7009203,False,Integrins,Alpha Subunits (Leukocyte),Matrisome-Associated,True,69.09007773205501,True,PSC,Unspecific,0.2988339,True,False
ITGB8,18.56614054857404,0.9738766,False,Integrins,Beta Subunits,Matrisome-Associated,True,48.17182776369574,True,Astrocyte,Unspecific,0.94859827,True,False
ITGAV,12.400865705983147,0.61553353,False,Integrins,Alpha Subunits,Matrisome-Associated,True,38.06070757414533,True,Astrocyte,Unspecific,0.51910156,True,False
ITGA6,10.250494471282746,0.5087502,False,Integrins,Alpha Subunits,Matrisome-Associated,True,49.474165523549246,True,NC Derivatives,Unspecific,0.8696959,True,False
ITGB5,5.06958744545049,0.23982064,False,Integrins,Beta Subunits,Matrisome-Associated,True,66.80384087791681,True,PSC,Unspecific,1.3266276,True,False
ITGA7,4.887443535383022,0.23847602,False,Integrins,Alpha Subunits,Matrisome-Associated,True,29.79614347577747,True,Astrocyte,Unspecific,1.5506502,True,False
ITGA2,4.684571930743534,0.23111635,False,Integrins,Alpha Subunits,Matrisome-Associated,True,15.826532387961626,True,Dorsal Telencephalic NPC,Unspecific,0.8769773,True,False
ITGA3,3.3631955214602804,0.16366382,True,Integrins,Alpha Subunits,Matrisome-Associated,True,17.42112482853212,True,PSC,Ventral midbrain,1.0342736,True,True
ITGA2B,2.015556501888229,0.09730777,False,Integrins,Alpha Subunits,Matrisome-Associated,True,7.453132144490161,True,PSC,Dorsal midbrain,0.6019864,True,False
ITGA5,1.7924655112629573,0.083217904,False,Integrins,Alpha Subunits,Matrisome-Associated,True,69.31870141746883,True,PSC,Unspecific,1.3075439,True,False
ITGA9,1.394346930776988,0.06876076,False,Integrins,Alpha Subunits,Matrisome-Associated,True,14.174668495656068,True,PSC,Dorsal midbrain,1.193122,True,False
ITGA10,1.182156335389211,0.05678067,False,Integrins,Alpha Subunits,Matrisome-Associated,True,2.0903943336106847,False,MC,Dorsal midbrain,0.6674289,False,False
ITGB4,1.0947837372883618,0.052240364,False,Integrins,Beta Subunits,Matrisome-Associated,True,15.129912574557613,True,Astrocyte,Unspecific,2.2208881,True,False
ITGA4,0.6528941396537524,0.03228702,False,Integrins,Alpha Subunits,Matrisome-Associated,False,18.749999999999993,True,Microglia,Ventral midbrain,1.1754017,False,False
ITGA8,0.646229649300886,0.03320236,True,Integrins,Alpha Subunits,Matrisome-Associated,False,7.133058984910832,True,PSC,Unspecific,1.633752,False,False
ITGA11,0.6225085819432258,0.030441904,False,Integrins,Alpha Subunits,Matrisome-Associated,False,5.652182736995878,True,MC,Unspecific,0.5800165,False,False
ITGA1,0.5727508192239432,0.028473115,True,Integrins,Alpha Subunits,Matrisome-Associated,False,7.767884556340339,True,NC Derivatives,Unspecific,0.923829,False,False
ITGB6,0.2904136389359825,0.01437795,False,Integrins,Beta Subunits,Matrisome-Associated,False,1.0416666666666665,False,Microglia,Medulla,0.8070585,False,False
ITGB3,0.18508080412160632,0.008882132,True,Integrins,Beta Subunits,Matrisome-Associated,False,0.7204757169240721,False,MC,Ventral midbrain,2.7074368,False,False
ITGB7,0.14656230903129563,0.006985015,False,Integrins,Beta Subunits,Matrisome-Associated,False,30.208333333333332,True,Microglia,Dorsal midbrain,1.795007,False,False
ITGAL,0.10629297325506172,0.0052313274,False,Integrins,Alpha Subunits (Leukocyte),Matrisome-Associated,False,15.624999999999996,True,Microglia,Ventral midbrain,0.58139884,False,False
ITGB2,0.06941236138707171,0.003326801,True,Integrins,Beta Subunits,Matrisome-Associated,False,76.0416666666666,True,Microglia,Ventral midbrain,0.8189781,False,False
ITGAM,0.06822630801918847,0.0032037064,False,Integrins,Alpha Subunits (Leukocyte),Matrisome-Associated,False,22.916666666666657,True,Microglia,Ventral telencephalon,2.290196,False,False
ITGAX,0.057382391512827424,0.002762536,False,Integrins,Alpha Subunits (Leukocyte),Matrisome-Associated,False,4.166666666666666,False,Microglia,Unspecific,0.74699676,False,False
