gene_symbol,Category,Subcategory,pct_cells_expressing,mean expression,is_hvg_in_atlas,max_pct_any_celltype,top_celltype,top_region,temporal_cv
PTK2,Mechanotransduction,Focal Adhesion Kinases,30.093054358653447,1.5788897,False,69.09007773205501,PSC,Dorsal midbrain,0.50419015
ILK,Mechanotransduction,Focal Adhesion Mechanosensors,30.046741798575415,1.5584941,False,68.12985825331697,PSC,Unspecific,0.6249239
ROCK2,Mechanotransduction,Rho GTPase Signaling,29.497260216869105,1.5452323,False,51.71467764060468,PSC,Dorsal telencephalon,0.28755954
EMD,Mechanotransduction,Nuclear Mechanotransduction,29.239265369995383,1.4996647,False,65.70644718793048,PSC,Unspecific,0.36061475
LMNB1,Mechanotransduction,Nuclear Mechanotransduction,26.028901296878903,1.3937744,True,71.50910386832165,Dorsal Telencephalic IP,Ventral telencephalon,0.6567008
LMNA,Mechanotransduction,Nuclear Mechanotransduction,23.646515431920246,1.2229055,True,68.86705557261922,NC Derivatives,Unspecific,0.45251134
SUN1,Mechanotransduction,LINC Complex,23.56625915402498,1.1982749,False,42.34110653863806,PSC,Ventral midbrain,0.4389465
FERMT2,Mechanotransduction,Focal Adhesion Mechanosensors,23.436583985800116,1.2063231,False,75.49154092364198,Astrocyte,Unspecific,0.5764737
FLNA,Mechanotransduction,Cytoskeletal,22.845138706335497,1.1717031,False,77.27480566986978,PSC,Unspecific,0.5265329
STK4,Mechanotransduction,Hippo Pathway,20.377074605177704,1.0241461,False,41.33516232281725,PSC,Dorsal telencephalon,0.48356596
MOB1A,Mechanotransduction,Hippo Pathway,20.324323469671597,1.0250236,False,68.54138088706185,Microglia,Unspecific,0.48178086
TEAD1,Mechanotransduction,Hippo Pathway,20.03323208594732,1.0347196,False,48.14814814814909,Neuroepithelium,Ventral midbrain,0.6200835
VCL,Mechanotransduction,Focal Adhesion Mechanosensors,15.95202244696786,0.7998626,False,64.70050297210966,PSC,Unspecific,0.8206692
SYNE1,Mechanotransduction,LINC Complex,15.813931947704013,0.80858296,False,35.62382547593652,OPC,Ventral midbrain,0.7602412
ZYX,Mechanotransduction,Focal Adhesion Mechanosensors,14.893667491669206,0.73813796,False,45.90763603109365,PSC,Unspecific,0.8744734
TLN1,Mechanotransduction,Focal Adhesion Mechanosensors,14.696330802741647,0.72381103,False,54.046639231825644,Microglia,Unspecific,0.5526824
SAV1,Mechanotransduction,Hippo Pathway,14.256813311833161,0.6993332,False,55.052583447646455,PSC,Unspecific,0.6101492
BCAR1,Mechanotransduction,Focal Adhesion Mechanosensors,14.035868513011007,0.6987437,False,40.32921810699644,EC,Unspecific,0.14672212
TEAD2,Mechanotransduction,Hippo Pathway,13.62267011112377,0.68628967,False,75.99451303155237,PSC,Unspecific,1.0870963
YAP1,Mechanotransduction,Hippo Pathway,12.981410590206915,0.647937,False,75.76588934613856,PSC,Unspecific,0.80967766
CRKL,Mechanotransduction,Focal Adhesion Mechanosensors,12.963450353492846,0.6370587,False,37.402834933699545,PSC,Unspecific,0.97509027
LMNB2,Mechanotransduction,Nuclear Mechanotransduction,12.756060450303952,0.6299717,False,54.2295381801567,PSC,Ventral telencephalon,0.6569044
NF2,Mechanotransduction,Hippo Pathway,12.65682731852212,0.6219785,False,25.240054869684307,Astrocyte,Ventral midbrain,0.6503311
MOB1B,Mechanotransduction,Hippo Pathway,12.460563725499833,0.61715513,False,25.422896966921137,Neuroepithelium,Ventral midbrain,0.47059363
SUN2,Mechanotransduction,LINC Complex,12.171449097395842,0.6222384,False,46.062831497347425,EC,Dorsal telencephalon,0.42146477
TRPM7,Mechanotransduction,Mechanosensitive Ion Channels,12.132930602305606,0.6002188,False,33.561957018747364,PSC,Dorsal midbrain,0.608147
LATS1,Mechanotransduction,Hippo Pathway,12.010654147950236,0.5938544,False,24.14266117969802,PSC,Dorsal midbrain,0.45765015
AMOTL1,Mechanotransduction,Hippo Pathway,11.411019452388588,0.5661554,False,47.46227709190763,PSC,Ventral midbrain,0.5108905
TLN2,Mechanotransduction,Focal Adhesion Mechanosensors,11.15641332941676,0.5532358,False,44.71879286694179,PSC,Cerebellum,0.53371286
AMOTL2,Mechanotransduction,Hippo Pathway,10.842165665660048,0.54358566,False,37.63145861911336,Dorsal Telencephalic IP,Pons,0.33513016
MYH9,Mechanotransduction,Cytoskeletal,9.227947031973747,0.44627824,False,56.24142661179832,PSC,Unspecific,1.027534
FLNB,Mechanotransduction,Cytoskeletal,8.839542793358559,0.43387696,False,53.13214449017036,PSC,Ventral midbrain,0.72744083
STK3,Mechanotransduction,Hippo Pathway,8.830732111197156,0.44201317,False,28.21216278006397,MC,Dorsal midbrain,0.8643691
WWC1,Mechanotransduction,Hippo Pathway,8.662086618030813,0.43117124,False,22.554947299621382,Astrocyte,Dorsal telencephalon,0.4064663
WWTR1,Mechanotransduction,Hippo Pathway,8.650282563083804,0.43620577,False,50.60894483676517,NC Derivatives,Unspecific,1.247062
SRC,Mechanotransduction,Focal Adhesion Kinases,7.635811582422759,0.3745783,False,28.12071330589844,PSC,Ventral telencephalon,0.36437258
SRF,Mechanotransduction,Cytoskeletal / Transcription,7.045721792535965,0.3421092,False,24.599908550525633,PSC,Ventral telencephalon,0.47520396
PARVA,Mechanotransduction,Focal Adhesion Mechanosensors,6.808680555155139,0.32723632,False,41.15226337448619,PSC,Unspecific,0.7298491
TRPC1,Mechanotransduction,Mechanosensitive Ion Channels,6.80314563943836,0.33838633,False,14.034398891907099,Neuroepithelium,Dorsal midbrain,0.7002679
