,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
PRELP,0.017432021,0.04902239,0.014712028,0.022344498,0.04493784,0.02205282,0.06905181,0.10636097,0.037083432,0.013686247
OMD,0.034630265,0.038953137,0.0042701643,0.0045761606,0.012069872,0.012478101,0.0026959733,0.025467185,0.01774048,0.008160753
OGN,0.05267559,0.060328823,0.0046071205,0.00562853,0.02970712,0.019565094,0.005764284,0.12939858,0.028658107,0.006511878
ASPN,0.061238017,0.067553885,0.007651565,0.007160748,0.02995324,0.01938501,0.0049339365,0.08016255,0.037497964,0.0099344
CHAD,0.0035254858,0.001863081,0.00015105904,0.00044265913,0.0028949608,0.001557511,0.00025581324,0.0023009588,0.0018680006,0.00010984187
KERA,0.00066676777,0.00094356627,0.000306971,0.0,0.001347627,0.00027852293,0.00013442556,0.0045502456,0.001091799,2.992746e-05
OPTC,0.0041694767,0.004507971,0.001286007,0.00126121,0.006786613,0.0026946324,0.0036175058,0.014463261,0.0020130828,0.0015152587
EPYC,0.0016776673,0.0017393228,3.1163676e-05,0.00021008619,0.0009309302,0.0012988407,0.00092014635,0.004155213,0.0031701608,6.303954e-05
HSPG2,0.14457087,0.25903204,0.06631123,0.058539905,0.18058,0.11893464,0.13807328,0.42317832,0.21428004,0.07209483
AGRN,0.5487305,0.702864,0.5860624,0.2767828,0.7251289,0.7328725,0.63857555,0.7318364,0.7116395,0.47593534
SDC1,0.2138464,0.32945716,0.16481437,0.17983066,0.24743168,0.27001113,0.26444036,0.3009853,0.28416964,0.23113462
SDC2,1.1740085,1.4613631,0.29099652,0.6376918,1.1656,0.8130062,1.3005683,2.0112658,1.5726252,0.4701181
SDC3,0.7361841,0.8296572,0.5671471,0.7862812,0.78914016,1.0596372,0.9004018,1.252674,1.1581655,0.76487744
SDC4,0.08358486,0.104803726,0.037778415,0.047812574,0.17808853,0.09893316,0.13005659,0.36114174,0.31474388,0.057962213
GPC1,0.7114271,0.87181044,1.5543425,0.5794288,0.8752843,0.861221,0.9512569,1.2407731,0.8171226,1.1296685
GPC3,0.39048228,0.40767255,0.17034413,0.3375382,0.9832155,0.2473736,1.1069208,1.0570617,0.17760809,0.29580197
GPC4,0.6117389,0.6515154,0.7449132,0.24250796,0.54129803,0.32909998,0.74232686,0.8588216,0.37109298,0.76416177
GPC5,0.21926665,0.4023254,0.019579034,0.07382254,0.13195413,0.14428452,0.03319233,0.120836794,0.58599806,0.012996138
GPC6,0.9507881,1.841754,0.6361338,0.3514826,0.60482913,0.6058792,0.37305257,1.179784,1.5477254,0.5786516
FN1,0.40317994,0.56294674,0.11092875,0.157169,0.3450149,0.26034504,0.35057288,0.8500253,0.50771815,0.18270476
VTN,0.0132762855,0.05135823,0.002966215,0.02242067,0.049805276,0.03443247,0.039529707,0.10158472,0.144195,0.004529141
TNC,0.33047402,0.4517666,0.14156717,0.1567265,0.42926306,0.14527671,0.15621032,1.5607014,0.45762575,0.40823698
TNR,0.055959914,0.06639685,0.14174661,0.09009644,0.050816678,0.1420597,0.067146696,0.03445299,0.15703863,0.123088755
TNXB,0.10646327,0.13599785,0.026536,0.040522844,0.089950405,0.09526193,0.037547447,0.10089938,0.18678778,0.031361215
THBS1,0.11031572,0.044018622,0.08275744,0.01718402,0.0672742,0.051142324,0.03200222,0.12989505,0.04478239,0.015758457
THBS2,0.17447199,0.098357655,0.07041175,0.08517467,0.2051439,0.12106906,0.06763921,0.28712222,0.1347104,0.041104443
THBS3,0.3163773,0.3753276,0.14328821,0.17390262,0.34955266,0.37813884,0.29998478,0.39383113,0.49170867,0.18836348
THBS4,0.24061275,0.29702884,0.061174348,0.09088189,0.17947866,0.14559908,0.11307755,0.22412527,0.3315882,0.0774317
COMP,0.02219192,0.02326933,0.016141634,0.010739822,0.032529768,0.02568689,0.017161654,0.016560633,0.017139548,0.017666413
SPP1,0.09543003,0.10725116,0.02520471,0.22372292,0.15444936,0.18396579,0.1321124,0.40430266,0.16344707,0.12467569
SPARC,1.5837642,1.9777074,0.7285479,0.8657842,2.1510553,1.326905,2.2385638,3.7259347,2.0926833,0.88124794
POSTN,0.13598533,0.07102521,0.02251026,0.016854202,0.09074287,0.043128815,0.0203308,0.21607362,0.06346223,0.008618667
FBLN1,0.7143774,0.90330327,1.5507582,0.50997764,0.97665817,0.620329,1.0451908,1.5523319,0.8471345,1.407542
FBLN2,0.12304665,0.12720257,0.04492997,0.047056146,0.15055127,0.080542,0.10534414,0.36725658,0.12984346,0.029802691
FBLN5,0.35605273,0.19543655,0.0121708745,0.061407436,0.37431148,0.14461294,0.071497574,0.29307753,0.2761821,0.06925975
EFEMP1,0.08942424,0.21680796,0.007293092,0.096679896,0.28673807,0.18735273,0.09576421,0.66282964,0.6414197,0.14770135
EFEMP2,0.06545814,0.1605697,0.19785543,0.114020444,0.30743328,0.34380987,0.14901124,1.1963853,0.86814797,0.21253446
NID1,0.043044638,0.098466955,0.028667826,0.027679162,0.09763672,0.060502853,0.029354123,0.45228276,0.12984209,0.058222838
NID2,0.055584397,0.09143634,0.004808969,0.015637275,0.035324443,0.03458279,0.037024785,0.20400915,0.07804581,0.0092886835
ELN,0.19394082,0.25986025,0.080333486,0.0613418,0.518449,0.16217501,0.23580584,0.3951242,0.15368843,0.11713236
FBN1,0.35566285,0.54040885,0.04324478,0.12957707,0.27712968,0.21656774,0.18975988,0.61782825,0.5478206,0.13299464
FBN2,0.79470396,0.88738376,0.05323439,0.06597755,0.35188636,0.2862467,0.16850504,0.65890497,0.222711,0.19452924
EMILIN1,0.024628552,0.039181083,0.03188157,0.029253518,0.055613577,0.04180216,0.032340273,0.26528504,0.10526362,0.03165617
EMILIN2,0.05469627,0.09598695,0.020012615,0.02017653,0.04021961,0.031142965,0.0840214,0.06341698,0.038756244,0.010428508
MFAP2,0.4805482,0.97251755,0.50988656,0.33809602,0.8671908,0.5694097,1.5323453,1.2482874,0.89566845,0.30003715
MFAP5,0.007954454,0.0052979826,0.0029670715,0.0021577561,0.005382287,0.0043118596,0.0025854688,0.016219996,0.0071613723,0.0044592395
ITGA1,0.02898844,0.029303411,0.011540332,0.012417949,0.029182058,0.018265931,0.021471685,0.07117141,0.041229464,0.018176597
ITGA2,0.048567966,0.07866694,0.280704,0.071952656,0.106748216,0.04126094,0.21137355,0.3378569,0.087302655,0.15699415
ITGA3,0.10061961,0.14724822,0.1271139,0.14616303,0.13351196,0.1983426,0.14694266,0.27290273,0.2932419,0.13769211
ITGA4,0.06917074,0.047061976,0.009051194,0.026214391,0.040178396,0.037707653,0.026705047,0.075205654,0.08251837,0.004027572
ITGA5,0.09009654,0.13526146,0.011737471,0.030107254,0.10164352,0.07518758,0.090865634,0.24260744,0.09684919,0.029921075
ITGA6,0.35624138,0.615347,0.2396254,0.39919087,0.3700752,0.334658,0.59601176,1.1817472,0.62728786,0.45264485
ITGA7,0.21913448,0.20358546,0.114635065,0.12038511,0.23234029,0.19119585,0.17693767,0.5673295,0.2381304,0.16977438
ITGA8,0.032255355,0.058963206,0.018097302,0.02292028,0.033093896,0.030078007,0.01285926,0.073747575,0.045765232,0.015961621
ITGA9,0.18152809,0.3064729,0.030453265,0.045921016,0.07831795,0.09031912,0.027075147,0.09467141,0.2298882,0.04046486
ITGA10,0.08925629,0.11083392,0.052033883,0.0525274,0.059804257,0.06743648,0.034093905,0.043623153,0.08320627,0.07606082
ITGA11,0.030147132,0.021927938,0.01949673,0.012037681,0.035433423,0.027829386,0.016850106,0.061094273,0.05123341,0.018785454
ITGAV,0.48428622,0.565973,0.5256181,0.2407581,0.4489921,0.3175089,0.350119,1.104543,0.6539642,0.48094878
ITGAL,0.007929861,0.008441376,0.0046874504,0.00248747,0.006733331,0.0070668114,0.0021909429,0.0050865957,0.012171998,0.004765157
ITGAM,0.0047099274,0.0029333471,0.0026811215,0.0030630073,0.0034364369,0.0030312443,0.0013367673,0.0034814887,0.00469365,0.0047223275
